(191, '63.72', '63.72', '65.30', '67.28', 'Wed, 29 Oct 2008 20:03:34', '733344.83581905591')
(192, '63.72', '63.72', '65.30', '67.95', 'Wed, 29 Oct 2008 20:03:43', '733344.83592572238')
(193, '63.95', '63.95', '65.30', '68.63', 'Wed, 29 Oct 2008 20:03:53', '733344.83603234263')
(194, '63.95', '63.95', '65.30', '68.63', 'Wed, 29 Oct 2008 20:04:02', '733344.83613900945')
(195, '63.95', '63.95', '65.30', '74.79', 'Wed, 29 Oct 2008 20:04:11', '733344.83624567639')
(196, '63.72', '63.72', '65.30', '76.15', 'Wed, 29 Oct 2008 20:04:20', '733344.83635234297')
(197, '63.95', '63.95', '65.30', '76.84', 'Wed, 29 Oct 2008 20:04:30', '733344.83645900944')
(198, '63.95', '63.95', '65.30', '72.05', 'Wed, 29 Oct 2008 20:05:18', '733344.83701512055')
(199, '63.95', '63.95', '65.30', '71.37', 'Wed, 29 Oct 2008 20:05:27', '733344.83712178736')
(200, '63.95', '63.95', '65.30', '70.68', 'Wed, 29 Oct 2008 20:05:36', '733344.83722845395')
(201, '63.95', '63.95', '65.30', '70.00', 'Wed, 29 Oct 2008 20:05:45', '733344.83733512065')
(202, '63.95', '63.95', '65.30', '68.63', 'Wed, 29 Oct 2008 20:05:54', '733344.83744174091')
(203, '63.95', '63.95', '65.30', '68.63', 'Wed, 29 Oct 2008 20:06:04', '733344.83754840749')
(204, '63.95', '63.95', '65.30', '67.95', 'Wed, 29 Oct 2008 20:06:13', '733344.83765507431')
(205, '63.95', '63.95', '65.30', '67.95', 'Wed, 29 Oct 2008 20:06:22', '733344.83776174102')
(206, '63.95', '63.95', '65.30', '67.28', 'Wed, 29 Oct 2008 20:06:31', '733344.83786840772')
(207, '63.95', '63.95', '65.30', '66.60', 'Wed, 29 Oct 2008 20:06:41', '733344.83797502832')
(208, '63.95', '63.95', '65.30', '66.60', 'Wed, 29 Oct 2008 20:06:51', '733344.83809743554')
(209, '63.95', '63.95', '65.30', '66.60', 'Wed, 29 Oct 2008 20:07:00', '733344.83820410224')
(210, '63.95', '63.95', '65.07', '66.36', 'Wed, 29 Oct 2008 20:07:10', '733344.83831076871')
(211, '63.95', '63.95', '65.07', '65.68', 'Wed, 29 Oct 2008 20:07:19', '733344.83841743553')
(212, '63.95', '63.95', '65.30', '65.91', 'Wed, 29 Oct 2008 20:07:28', '733344.83852410212')
(213, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:07:37', '733344.83863072249')
(214, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:07:46', '733344.83873738919')
(215, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:07:56', '733344.83884405578')
