Log Date and Time Sat, 22 Mar 2008 12:52:38
Ambient Kiln Date Date2Num

(177, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:32', '733122.36221115931')
(178, '72.05', '73.17', 'Thu, 20 Mar 2008 20:55:35', '733122.36224574572')
(179, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:38', '733122.36228055030')
(180, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:41', '733122.36231518234')
(181, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:44', '733122.36234998715')
(182, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:47', '733122.36238461907')
(183, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:50', '733122.36241942376')
(184, '72.05', '73.17', 'Thu, 20 Mar 2008 20:55:53', '733122.36245405592')
(185, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:56', '733122.36248886061')
(186, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:59', '733122.36252367764')
(187, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:02', '733122.36255829805')
(188, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:05', '733122.36259312322')
(189, '72.05', '73.17', 'Thu, 20 Mar 2008 20:56:08', '733122.36262773455')
(190, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:11', '733122.36266255169')
(191, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:14', '733122.36269717116')
(192, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:17', '733122.36273197667')
(193, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:20', '733122.36276660918')
(194, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:23', '733122.36280141352')
(195, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:26', '733122.36283622973')
(196, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:29', '733122.36287103430')
(197, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:32', '733122.36290566658')
(198, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:35', '733122.36294028710')
(199, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:38', '733122.36297510355')
(200, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:41', '733122.36300972407')
(201, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:44', '733122.36304454051')
(202, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:47', '733122.36307916092')
(203, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:50', '733122.36311397748')
(204, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:53', '733122.36314859753')
(205, '72.27', '73.17', 'Thu, 20 Mar 2008 20:56:56', '733122.36318341398')
(206, '72.27', '72.95', 'Thu, 20 Mar 2008 20:56:59', '733122.36321803555')
(207, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:02', '733122.36325283966')
(208, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:05', '733122.36328765564')
(209, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:08', '733122.36332227662')
(210, '72.27', '73.17', 'Thu, 20 Mar 2008 20:57:11', '733122.36335709412')
(211, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:14', '733122.36339171289')
(212, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:17', '733122.36342652980')
(213, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:20', '733122.36346114974')
(214, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:23', '733122.36349596793')
(215, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:26', '733122.36353077227')
(216, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:29', '733122.36356540408')
(217, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:32', '733122.36360021308')
(218, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:35', '733122.36363502615')
(219, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:38', '733122.36366983037')
(220, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:41', '733122.36370445136')
(221, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:44', '733122.36373926781')
(222, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:47', '733122.36377407343')
(223, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:50', '733122.36380870489')
(224, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:53', '733122.36384351237')
(225, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:56', '733122.36387832661')
(226, '72.27', '72.95', 'Thu, 20 Mar 2008 20:57:59', '733122.36391313211')
(227, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:02', '733122.36394777102')
(228, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:05', '733122.36398256931')
(229, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:08', '733122.36401739914')
(230, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:11', '733122.36405200581')
(231, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:14', '733122.36408682237')
(232, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:17', '733122.36412162811')
(233, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:20', '733122.36415624793')
(234, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:23', '733122.36419106461')
(235, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:26', '733122.36422586965')
(236, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:29', '733122.36426050146')
