Log Date and Time Fri, 21 Mar 2008 08:29:42
Ambient Kiln Date Date2Num

(124, '72.05', '251.60', 'Thu, 20 Mar 2008 20:52:53', '733121.99096779886')
(125, '72.05', '250.21', 'Thu, 20 Mar 2008 20:52:56', '733121.99100242543')
(126, '72.05', '251.37', 'Thu, 20 Mar 2008 20:52:59', '733121.99103723338')
(127, '72.27', '250.21', 'Thu, 20 Mar 2008 20:53:02', '733121.99107205158')
(128, '72.05', '251.60', 'Thu, 20 Mar 2008 20:53:05', '733121.99110667070')
(129, '72.27', '250.66', 'Thu, 20 Mar 2008 20:53:08', '733121.99114147737')
(130, '72.05', '251.60', 'Thu, 20 Mar 2008 20:53:11', '733121.99117610650')
(131, '72.27', '250.90', 'Thu, 20 Mar 2008 20:53:14', '733121.99121091270')
(132, '72.27', '250.21', 'Thu, 20 Mar 2008 20:53:17', '733121.99124572868')
(133, '72.05', '249.51', 'Thu, 20 Mar 2008 20:53:20', '733121.99128035002')
(134, '72.05', '252.30', 'Thu, 20 Mar 2008 20:53:23', '733121.99131516588')
(135, '72.05', '252.30', 'Thu, 20 Mar 2008 20:53:26', '733121.99134997372')
(136, '72.05', '254.37', 'Thu, 20 Mar 2008 20:53:29', '733121.99138478958')
(137, '72.05', '253.69', 'Thu, 20 Mar 2008 20:53:32', '733121.99141959334')
(138, '72.27', '252.99', 'Thu, 20 Mar 2008 20:53:35', '733121.99145422643')
(139, '72.05', '252.07', 'Thu, 20 Mar 2008 20:53:38', '733121.99148903054')
(140, '72.27', '251.60', 'Thu, 20 Mar 2008 20:53:41', '733121.99152384629')
(141, '72.05', '252.30', 'Thu, 20 Mar 2008 20:53:44', '733121.99155846704')
(142, '72.27', '250.21', 'Thu, 20 Mar 2008 20:53:47', '733121.99159328395')
(143, '72.05', '250.90', 'Thu, 20 Mar 2008 20:53:50', '733121.99162790889')
(144, '72.27', '252.30', 'Thu, 20 Mar 2008 20:53:53', '733121.99166270543')
(145, '72.05', '250.66', 'Thu, 20 Mar 2008 20:53:56', '733121.99169752584')
(146, '72.05', '249.51', 'Thu, 20 Mar 2008 20:53:59', '733121.99173214496')
(147, '72.05', '249.51', 'Thu, 20 Mar 2008 20:54:02', '733121.99176696292')
(148, '72.27', '250.90', 'Thu, 20 Mar 2008 20:54:05', '733121.99180158216')
(149, '72.05', '248.59', 'Thu, 20 Mar 2008 20:54:08', '733121.99183639989')
(150, '72.27', '250.90', 'Thu, 20 Mar 2008 20:54:11', '733121.99187120388')
(151, '72.05', '250.21', 'Thu, 20 Mar 2008 20:54:14', '733121.99190583650')
(152, '72.05', '251.60', 'Thu, 20 Mar 2008 20:54:17', '733121.99194064015')
(153, '72.05', '252.30', 'Thu, 20 Mar 2008 20:54:20', '733121.99197545752')
(154, '72.05', '251.37', 'Thu, 20 Mar 2008 20:54:23', '733121.99201007700')
(155, '72.05', '250.66', 'Thu, 20 Mar 2008 20:54:26', '733121.99204489449')
(156, '72.27', '252.07', 'Thu, 20 Mar 2008 20:54:29', '733121.99207951420')
(157, '72.27', '250.90', 'Thu, 20 Mar 2008 20:54:32', '733121.99211432028')
(158, '72.27', '251.60', 'Thu, 20 Mar 2008 20:54:35', '733121.99214913626')
(159, '72.27', '250.90', 'Thu, 20 Mar 2008 20:54:38', '733121.99218375713')
(160, '72.05', '252.30', 'Thu, 20 Mar 2008 20:54:41', '733121.99221857253')
(161, '72.05', '251.60', 'Thu, 20 Mar 2008 20:54:44', '733121.99225319340')
(162, '72.27', '251.60', 'Thu, 20 Mar 2008 20:54:47', '733121.99228800973')
(163, '72.27', '250.66', 'Thu, 20 Mar 2008 20:54:50', '733121.99232281640')
(164, '72.05', '252.07', 'Thu, 20 Mar 2008 20:54:53', '733121.99235744902')
(165, '72.27', '251.60', 'Thu, 20 Mar 2008 20:54:56', '733121.99239225360')
(166, '72.27', '252.30', 'Thu, 20 Mar 2008 20:54:59', '733121.99242688436')
(167, '72.27', '252.30', 'Thu, 20 Mar 2008 20:55:02', '733121.99246168963')
(168, '72.27', '250.90', 'Thu, 20 Mar 2008 20:55:05', '733121.99249650573')
(169, '72.27', '252.30', 'Thu, 20 Mar 2008 20:55:08', '733121.99253112660')
(170, '72.27', '251.60', 'Thu, 20 Mar 2008 20:55:11', '733121.99256594293')
(171, '72.05', '250.66', 'Thu, 20 Mar 2008 20:55:14', '733121.99260074890')
(172, '72.27', '250.90', 'Thu, 20 Mar 2008 20:55:17', '733121.99263536837')
(173, '72.27', '254.14', 'Thu, 20 Mar 2008 20:55:20', '733121.99267018598')
(174, '72.27', '250.21', 'Thu, 20 Mar 2008 20:55:23', '733121.99270499067')
(175, '72.27', '252.30', 'Thu, 20 Mar 2008 20:55:26', '733121.99273962213')
(176, '72.27', '252.30', 'Thu, 20 Mar 2008 20:55:29', '733121.99277442682')
(177, '72.27', '252.07', 'Thu, 20 Mar 2008 20:55:32', '733121.99280905921')
(178, '72.05', '251.60', 'Thu, 20 Mar 2008 20:55:35', '733121.99284386379')
(179, '72.27', '252.99', 'Thu, 20 Mar 2008 20:55:38', '733121.99287849630')
(180, '72.27', '250.90', 'Thu, 20 Mar 2008 20:55:41', '733121.99291330110')
(181, '72.27', '251.37', 'Thu, 20 Mar 2008 20:55:44', '733121.99294793326')
(182, '72.27', '250.21', 'Thu, 20 Mar 2008 20:55:47', '733121.99298273691')
(183, '72.27', '250.90', 'Thu, 20 Mar 2008 20:55:50', '733121.99301755463')
(184, '72.05', '251.60', 'Thu, 20 Mar 2008 20:55:53', '733121.99305217410')
(185, '72.27', '252.30', 'Thu, 20 Mar 2008 20:55:56', '733121.99308698007')
(186, '72.27', '251.37', 'Thu, 20 Mar 2008 20:55:59', '733121.99312161095')
(187, '72.27', '249.51', 'Thu, 20 Mar 2008 20:56:02', '733121.99315641855')
(188, '72.27', '250.66', 'Thu, 20 Mar 2008 20:56:05', '733121.99319104827')
(189, '72.05', '252.30', 'Thu, 20 Mar 2008 20:56:08', '733121.99322585424')
(190, '72.27', '252.99', 'Thu, 20 Mar 2008 20:56:11', '733121.99326066906')
(191, '72.27', '251.60', 'Thu, 20 Mar 2008 20:56:14', '733121.99329529016')
(192, '72.27', '250.90', 'Thu, 20 Mar 2008 20:56:17', '733121.99333010637')
(193, '72.27', '254.37', 'Thu, 20 Mar 2008 20:56:20', '733121.99336472747')
(194, '72.27', '252.07', 'Thu, 20 Mar 2008 20:56:23', '733121.99339954380')
(195, '72.27', '251.37', 'Thu, 20 Mar 2008 20:56:26', '733121.99343416363')
(196, '72.27', '252.07', 'Thu, 20 Mar 2008 20:56:29', '733121.99346897961')
(197, '72.27', '253.45', 'Thu, 20 Mar 2008 20:56:32', '733121.99350378558')
(198, '72.27', '252.30', 'Thu, 20 Mar 2008 20:56:35', '733121.99353841634')
(199, '72.27', '250.90', 'Thu, 20 Mar 2008 20:56:38', '733121.99357322289')
(200, '72.27', '250.90', 'Thu, 20 Mar 2008 20:56:41', '733121.99360784248')
(201, '72.27', '251.60', 'Thu, 20 Mar 2008 20:56:44', '733121.99364266009')
(202, '72.27', '249.28', 'Thu, 20 Mar 2008 20:56:47', '733121.99367727933')
