Log Date and Time Wed, 19 Mar 2008 09:00:44
Ambient Kiln Date Date2Num

(136, '73.62', '76.10', 'Tue, 18 Mar 2008 16:47:36', '733119.69973099104')
(137, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:39', '733119.69976579002')
(138, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:42', '733119.69980078109')
(139, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:45', '733119.69983558101')
(140, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:48', '733119.69987038977')
(141, '73.62', '76.10', 'Tue, 18 Mar 2008 16:47:51', '733119.69990481739')
(142, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:54', '733119.69993962604')
(143, '73.40', '75.20', 'Tue, 18 Mar 2008 16:47:57', '733119.69997442421')
(144, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:00', '733119.70000925055')
(145, '73.40', '75.20', 'Tue, 18 Mar 2008 16:48:03', '733119.70004406990')
(146, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:06', '733119.70007895678')
(147, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:09', '733119.70011356426')
(148, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:12', '733119.70014824916')
(149, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:15', '733119.70018305979')
(150, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:18', '733119.70021785574')
(151, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:21', '733119.70025266614')
(152, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:24', '733119.70028727793')
(153, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:27', '733119.70032208809')
(154, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:30', '733119.70035688486')
(155, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:33', '733119.70039171842')
(156, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:36', '733119.70042649086')
(157, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:39', '733119.70046130032')
(158, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:42', '733119.70049591421')
(159, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:45', '733119.70053071086')
(160, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:48', '733119.70056551951')
(161, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:51', '733119.70060031791')
(162, '73.62', '76.10', 'Tue, 18 Mar 2008 16:48:54', '733119.70063512668')
(163, '73.62', '75.42', 'Tue, 18 Mar 2008 16:48:57', '733119.70066992461')
(164, '73.62', '75.42', 'Tue, 18 Mar 2008 16:49:00', '733119.70070454804')
(165, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:03', '733119.70073934633')
(166, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:06', '733119.70077415556')
(167, '73.62', '75.42', 'Tue, 18 Mar 2008 16:49:09', '733119.70080895256')
(168, '73.62', '75.42', 'Tue, 18 Mar 2008 16:49:12', '733119.70084376202')
(169, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:15', '733119.70087855996')
(170, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:18', '733119.70091318316')
(171, '73.62', '75.42', 'Tue, 18 Mar 2008 16:49:21', '733119.70094798075')
(172, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:24', '733119.70098277915')
(173, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:27', '733119.70101758756')
(174, '73.40', '75.88', 'Tue, 18 Mar 2008 16:49:30', '733119.70105238538')
(175, '73.62', '75.42', 'Tue, 18 Mar 2008 16:49:33', '733119.70108701091')
(176, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:36', '733119.70112180733')
(177, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:39', '733119.70115661714')
(178, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:42', '733119.70119141426')
(179, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:45', '733119.70122622501')
(180, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:48', '733119.70126102096')
(181, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:51', '733119.70129564556')
(182, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:54', '733119.70133044384')
(183, '73.62', '76.10', 'Tue, 18 Mar 2008 16:49:57', '733119.70136525226')
(184, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:00', '733119.70140004880')
(185, '73.40', '75.88', 'Tue, 18 Mar 2008 16:50:03', '733119.70143484802')
