Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(113, '64.40', '170.08', 'Mon, 03 Nov 2008 13:36:11', '733349.56679926522')
(114, '64.40', '170.08', 'Mon, 03 Nov 2008 13:36:14', '733349.56683407223')
(115, '64.40', '169.39', 'Mon, 03 Nov 2008 13:36:17', '733349.56686870463')
(116, '64.40', '170.76', 'Mon, 03 Nov 2008 13:36:20', '733349.56690351141')
(117, '64.40', '170.08', 'Mon, 03 Nov 2008 13:36:23', '733349.56693814346')
(118, '64.40', '170.76', 'Mon, 03 Nov 2008 13:36:26', '733349.56697295059')
(119, '64.40', '170.76', 'Mon, 03 Nov 2008 13:36:29', '733349.56700758275')
(120, '64.40', '171.46', 'Mon, 03 Nov 2008 13:36:32', '733349.56704238965')
(121, '64.40', '171.46', 'Mon, 03 Nov 2008 13:36:35', '733349.56707701006')
(122, '64.40', '171.46', 'Mon, 03 Nov 2008 13:36:38', '733349.56711182883')
(123, '64.40', '172.15', 'Mon, 03 Nov 2008 13:36:41', '733349.56714663468')
(124, '64.40', '171.46', 'Mon, 03 Nov 2008 13:36:44', '733349.56718126754')
(125, '64.40', '172.83', 'Mon, 03 Nov 2008 13:36:47', '733349.56721607386')
(126, '64.40', '172.83', 'Mon, 03 Nov 2008 13:36:50', '733349.56725070672')
(127, '64.40', '172.83', 'Mon, 03 Nov 2008 13:36:53', '733349.56728551234')
(128, '64.40', '172.83', 'Mon, 03 Nov 2008 13:36:56', '733349.56732014567')
(129, '64.40', '172.83', 'Mon, 03 Nov 2008 13:36:59', '733349.56735495164')
(130, '64.40', '173.53', 'Mon, 03 Nov 2008 13:37:02', '733349.56738958496')
(131, '64.40', '172.83', 'Mon, 03 Nov 2008 13:37:05', '733349.56742439070')
(132, '64.40', '174.22', 'Mon, 03 Nov 2008 13:37:08', '733349.56745902402')
(133, '64.40', '173.53', 'Mon, 03 Nov 2008 13:37:11', '733349.56749382976')
(134, '64.40', '174.22', 'Mon, 03 Nov 2008 13:37:14', '733349.56752846320')
(135, '64.40', '173.53', 'Mon, 03 Nov 2008 13:37:17', '733349.56756326905')
(136, '64.40', '174.92', 'Mon, 03 Nov 2008 13:37:20', '733349.56759790226')
(137, '64.40', '174.92', 'Mon, 03 Nov 2008 13:37:23', '733349.56763270800')
(138, '64.40', '174.22', 'Mon, 03 Nov 2008 13:37:26', '733349.56766734156')
(139, '64.40', '175.60', 'Mon, 03 Nov 2008 13:37:29', '733349.56770214683')
(140, '64.40', '174.92', 'Mon, 03 Nov 2008 13:37:32', '733349.56773678050')
(141, '64.40', '175.60', 'Mon, 03 Nov 2008 13:37:35', '733349.56777158589')
(142, '64.40', '174.92', 'Mon, 03 Nov 2008 13:37:38', '733349.56780621933')
(143, '64.40', '176.31', 'Mon, 03 Nov 2008 13:37:41', '733349.56784102495')
(144, '64.40', '175.60', 'Mon, 03 Nov 2008 13:37:44', '733349.56787564664')
(145, '64.40', '176.31', 'Mon, 03 Nov 2008 13:37:47', '733349.56791046425')
(146, '64.40', '175.60', 'Mon, 03 Nov 2008 13:37:50', '733349.56794508593')
(147, '64.40', '176.99', 'Mon, 03 Nov 2008 13:37:53', '733349.56797990319')
(148, '64.40', '176.31', 'Mon, 03 Nov 2008 13:37:56', '733349.56801452523')
(149, '64.40', '176.31', 'Mon, 03 Nov 2008 13:37:59', '733349.56804934237')
(150, '64.40', '177.67', 'Mon, 03 Nov 2008 13:38:02', '733349.56808396440')
(151, '64.40', '176.99', 'Mon, 03 Nov 2008 13:38:05', '733349.56811878155')
(152, '64.40', '176.99', 'Mon, 03 Nov 2008 13:38:08', '733349.56815340347')
(153, '64.40', '176.99', 'Mon, 03 Nov 2008 13:38:11', '733349.56818822061')
(154, '64.40', '177.67', 'Mon, 03 Nov 2008 13:38:14', '733349.56822302740')
(155, '64.40', '177.67', 'Mon, 03 Nov 2008 13:38:17', '733349.56825765991')
(156, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:20', '733349.56829246634')
(157, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:23', '733349.56832709862')
(158, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:26', '733349.56836190552')
(159, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:29', '733349.56839653756')
(160, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:32', '733349.56843134470')
(161, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:35', '733349.56846597674')
(162, '64.40', '178.36', 'Mon, 03 Nov 2008 13:38:38', '733349.56850078388')
(163, '64.40', '179.06', 'Mon, 03 Nov 2008 13:38:41', '733349.56853540440')
(164, '64.40', '179.06', 'Mon, 03 Nov 2008 13:38:44', '733349.56857022282')
(165, '64.40', '179.74', 'Mon, 03 Nov 2008 13:38:47', '733349.56860484369')
(166, '64.40', '180.45', 'Mon, 03 Nov 2008 13:38:50', '733349.56863966223')
(167, '64.40', '179.06', 'Mon, 03 Nov 2008 13:38:53', '733349.56867428264')
(168, '64.40', '180.45', 'Mon, 03 Nov 2008 13:38:56', '733349.56870910130')
(169, '64.40', '179.74', 'Mon, 03 Nov 2008 13:38:59', '733349.56874372193')
(170, '64.40', '180.45', 'Mon, 03 Nov 2008 13:39:02', '733349.56877854036')
(171, '64.40', '179.74', 'Mon, 03 Nov 2008 13:39:05', '733349.56881316029')
(172, '64.40', '180.45', 'Mon, 03 Nov 2008 13:39:08', '733349.56884797907')
(173, '64.40', '180.45', 'Mon, 03 Nov 2008 13:39:11', '733349.56888259971')
(174, '64.40', '180.45', 'Mon, 03 Nov 2008 13:39:14', '733349.56891741836')
(175, '64.40', '181.13', 'Mon, 03 Nov 2008 13:39:17', '733349.56895203900')
(176, '64.40', '181.83', 'Mon, 03 Nov 2008 13:39:20', '733349.56898685743')
(177, '64.40', '181.83', 'Mon, 03 Nov 2008 13:39:23', '733349.56902147795')
(178, '64.40', '182.52', 'Mon, 03 Nov 2008 13:39:26', '733349.56905629672')
(179, '64.40', '181.83', 'Mon, 03 Nov 2008 13:39:29', '733349.56909091701')
(180, '64.40', '183.20', 'Mon, 03 Nov 2008 13:39:32', '733349.56912573578')
(181, '64.40', '182.52', 'Mon, 03 Nov 2008 13:39:35', '733349.56916035619')
(182, '64.40', '182.52', 'Mon, 03 Nov 2008 13:39:38', '733349.56919517496')
(183, '64.40', '183.20', 'Mon, 03 Nov 2008 13:39:41', '733349.56922979525')
(184, '64.40', '183.20', 'Mon, 03 Nov 2008 13:39:44', '733349.56926460366')
(185, '64.40', '183.90', 'Mon, 03 Nov 2008 13:39:47', '733349.56929941976')
