Log Date and Time Mon, 26 May 2008 04:15:29
Ambient Kiln Date Date2Num

(118, '73.62', '133.02', 'Sun, 25 May 2008 10:19:44', '733187.43037943076')
(119, '73.62', '133.70', 'Sun, 25 May 2008 10:19:47', '733187.43041423685')
(120, '73.62', '133.70', 'Sun, 25 May 2008 10:19:50', '733187.43044886994')
(121, '73.85', '133.93', 'Sun, 25 May 2008 10:19:53', '733187.43048367591')
(122, '73.62', '133.70', 'Sun, 25 May 2008 10:19:56', '733187.43051830935')
(123, '73.62', '133.70', 'Sun, 25 May 2008 10:19:59', '733187.43055311521')
(124, '73.85', '133.93', 'Sun, 25 May 2008 10:20:02', '733187.43058792187')
(125, '73.85', '133.93', 'Sun, 25 May 2008 10:20:05', '733187.43062255380')
(126, '73.85', '133.93', 'Sun, 25 May 2008 10:20:08', '733187.43065736059')
(127, '73.62', '133.02', 'Sun, 25 May 2008 10:20:11', '733187.43069199321')
(128, '73.85', '133.93', 'Sun, 25 May 2008 10:20:14', '733187.43072679965')
(129, '73.85', '133.93', 'Sun, 25 May 2008 10:20:17', '733187.43076143193')
(130, '73.85', '133.25', 'Sun, 25 May 2008 10:20:20', '733187.43079623883')
(131, '73.85', '133.25', 'Sun, 25 May 2008 10:20:23', '733187.43083087122')
(132, '73.85', '133.25', 'Sun, 25 May 2008 10:20:26', '733187.43086567824')
(133, '73.85', '133.25', 'Sun, 25 May 2008 10:20:29', '733187.43090031028')
(134, '73.85', '133.25', 'Sun, 25 May 2008 10:20:32', '733187.43093511718')
(135, '73.85', '133.25', 'Sun, 25 May 2008 10:20:35', '733187.43096974958')
(136, '73.85', '133.25', 'Sun, 25 May 2008 10:20:38', '733187.43100455625')
(137, '73.85', '133.25', 'Sun, 25 May 2008 10:20:41', '733187.43103918876')
(138, '73.85', '133.25', 'Sun, 25 May 2008 10:20:44', '733187.43107399542')
(139, '73.85', '133.25', 'Sun, 25 May 2008 10:20:47', '733187.43110862782')
(140, '73.85', '133.25', 'Sun, 25 May 2008 10:20:50', '733187.43114343402')
(141, '73.85', '133.25', 'Sun, 25 May 2008 10:20:53', '733187.43117806641')
(142, '73.85', '133.25', 'Sun, 25 May 2008 10:20:56', '733187.43121287343')
(143, '73.85', '133.93', 'Sun, 25 May 2008 10:20:59', '733187.43124750559')
(144, '73.85', '133.25', 'Sun, 25 May 2008 10:21:02', '733187.43128231226')
(145, '73.85', '133.25', 'Sun, 25 May 2008 10:21:05', '733187.43131693313')
(146, '73.85', '133.93', 'Sun, 25 May 2008 10:21:08', '733187.43135175144')
(147, '73.85', '133.93', 'Sun, 25 May 2008 10:21:11', '733187.43138637254')
(148, '73.85', '133.93', 'Sun, 25 May 2008 10:21:14', '733187.43142119062')
(149, '73.85', '133.93', 'Sun, 25 May 2008 10:21:17', '733187.43145581149')
(150, '73.85', '133.25', 'Sun, 25 May 2008 10:21:20', '733187.43149062968')
(151, '73.85', '133.93', 'Sun, 25 May 2008 10:21:23', '733187.43152525055')
(152, '73.85', '134.62', 'Sun, 25 May 2008 10:21:26', '733187.43156006909')
(153, '73.85', '134.62', 'Sun, 25 May 2008 10:21:29', '733187.43159468961')
(154, '73.85', '134.62', 'Sun, 25 May 2008 10:21:32', '733187.43162950804')
(155, '73.85', '134.62', 'Sun, 25 May 2008 10:21:35', '733187.43166431354')
(156, '73.85', '134.62', 'Sun, 25 May 2008 10:21:38', '733187.43169894663')
(157, '73.85', '134.62', 'Sun, 25 May 2008 10:21:41', '733187.43173375283')
(158, '73.85', '134.62', 'Sun, 25 May 2008 10:21:44', '733187.43176838581')
(159, '73.85', '134.62', 'Sun, 25 May 2008 10:21:47', '733187.43180319178')
(160, '73.85', '134.62', 'Sun, 25 May 2008 10:21:50', '733187.43183782487')
(161, '73.85', '134.62', 'Sun, 25 May 2008 10:21:53', '733187.43187263084')
(162, '73.85', '134.62', 'Sun, 25 May 2008 10:21:56', '733187.43190726440')
(163, '73.85', '134.62', 'Sun, 25 May 2008 10:21:59', '733187.43194207002')
(164, '73.85', '135.30', 'Sun, 25 May 2008 10:22:02', '733187.43197669159')
(165, '73.85', '135.30', 'Sun, 25 May 2008 10:22:05', '733187.43201150943')
(166, '73.85', '134.62', 'Sun, 25 May 2008 10:22:08', '733187.43204613077')
(167, '73.85', '135.30', 'Sun, 25 May 2008 10:22:11', '733187.43208094861')
(168, '73.85', '135.30', 'Sun, 25 May 2008 10:22:14', '733187.43211556994')
(169, '73.85', '135.30', 'Sun, 25 May 2008 10:22:17', '733187.43215038755')
(170, '73.85', '135.30', 'Sun, 25 May 2008 10:22:20', '733187.43218500854')
(171, '73.85', '135.30', 'Sun, 25 May 2008 10:22:23', '733187.43221982615')
(172, '73.85', '135.30', 'Sun, 25 May 2008 10:22:26', '733187.43225444795')
(173, '73.85', '135.30', 'Sun, 25 May 2008 10:22:29', '733187.43228926545')
(174, '73.85', '135.30', 'Sun, 25 May 2008 10:22:32', '733187.43232388690')
(175, '73.85', '135.30', 'Sun, 25 May 2008 10:22:35', '733187.43235870451')
(176, '73.85', '135.30', 'Sun, 25 May 2008 10:22:38', '733187.43239332607')
(177, '74.07', '135.52', 'Sun, 25 May 2008 10:22:41', '733187.43242814392')
(178, '73.85', '135.99', 'Sun, 25 May 2008 10:22:44', '733187.43246276525')
(179, '74.07', '135.52', 'Sun, 25 May 2008 10:22:47', '733187.43249758263')
(180, '73.85', '135.30', 'Sun, 25 May 2008 10:22:50', '733187.43253220420')
(181, '73.85', '135.30', 'Sun, 25 May 2008 10:22:53', '733187.43256701028')
(182, '73.85', '135.30', 'Sun, 25 May 2008 10:22:56', '733187.43260164373')
(183, '74.07', '135.52', 'Sun, 25 May 2008 10:22:59', '733187.43263644958')
(184, '73.85', '135.30', 'Sun, 25 May 2008 10:23:02', '733187.43267108267')
(185, '73.85', '135.30', 'Sun, 25 May 2008 10:23:05', '733187.43270588887')
(186, '74.07', '135.52', 'Sun, 25 May 2008 10:23:08', '733187.43274070648')
(187, '74.07', '134.83', 'Sun, 25 May 2008 10:23:11', '733187.43277532805')
(188, '73.85', '135.30', 'Sun, 25 May 2008 10:23:14', '733187.43281014555')
(189, '74.07', '135.52', 'Sun, 25 May 2008 10:23:17', '733187.43284476630')
(190, '74.07', '134.83', 'Sun, 25 May 2008 10:23:20', '733187.43287958461')
(191, '74.07', '134.83', 'Sun, 25 May 2008 10:23:23', '733187.43291420536')
(192, '74.07', '134.83', 'Sun, 25 May 2008 10:23:26', '733187.43294902414')
(193, '73.85', '135.30', 'Sun, 25 May 2008 10:23:29', '733187.43298364466')
(194, '74.07', '135.52', 'Sun, 25 May 2008 10:23:32', '733187.43301846297')
(195, '74.07', '134.83', 'Sun, 25 May 2008 10:23:35', '733187.43305308383')
(196, '74.07', '134.83', 'Sun, 25 May 2008 10:23:38', '733187.43308790226')
(197, '74.07', '135.52', 'Sun, 25 May 2008 10:23:41', '733187.43312252336')
(198, '74.07', '135.52', 'Sun, 25 May 2008 10:23:44', '733187.43315734155')
(199, '74.07', '135.52', 'Sun, 25 May 2008 10:23:47', '733187.43319196254')
(200, '74.07', '135.52', 'Sun, 25 May 2008 10:23:50', '733187.43322676898')
(201, '74.07', '135.52', 'Sun, 25 May 2008 10:23:53', '733187.43326158589')
(202, '74.07', '135.52', 'Sun, 25 May 2008 10:23:56', '733187.43329620827')
(203, '74.07', '134.83', 'Sun, 25 May 2008 10:23:59', '733187.43333102483')
(204, '74.07', '134.83', 'Sun, 25 May 2008 10:24:02', '733187.43336564663')
(205, '74.07', '134.83', 'Sun, 25 May 2008 10:24:05', '733187.43340046413')
(206, '74.07', '134.83', 'Sun, 25 May 2008 10:24:08', '733187.43343508570')
(207, '74.07', '134.83', 'Sun, 25 May 2008 10:24:11', '733187.43346990342')
(208, '74.07', '134.83', 'Sun, 25 May 2008 10:24:14', '733187.43350452487')
(209, '74.07', '134.83', 'Sun, 25 May 2008 10:24:17', '733187.43353934248')
(210, '74.07', '134.83', 'Sun, 25 May 2008 10:24:20', '733187.43357396417')
(211, '74.07', '134.83', 'Sun, 25 May 2008 10:24:23', '733187.43360878166')
(212, '74.07', '134.15', 'Sun, 25 May 2008 10:24:26', '733187.43364340358')
(213, '74.07', '134.15', 'Sun, 25 May 2008 10:24:29', '733187.43367822096')
(214, '74.07', '134.83', 'Sun, 25 May 2008 10:24:32', '733187.43371284252')
(215, '74.07', '135.52', 'Sun, 25 May 2008 10:24:35', '733187.43374766025')
(216, '74.07', '135.52', 'Sun, 25 May 2008 10:24:38', '733187.43378246645')
(217, '74.07', '135.52', 'Sun, 25 May 2008 10:24:41', '733187.43381709931')
(218, '74.07', '134.83', 'Sun, 25 May 2008 10:24:44', '733187.43385190540')
(219, '74.07', '135.52', 'Sun, 25 May 2008 10:24:47', '733187.43388653814')
(220, '74.07', '135.52', 'Sun, 25 May 2008 10:24:50', '733187.43392134458')
(221, '74.07', '135.52', 'Sun, 25 May 2008 10:24:53', '733187.43395596533')
(222, '74.07', '135.52', 'Sun, 25 May 2008 10:24:56', '733187.43399078399')
(223, '74.07', '134.83', 'Sun, 25 May 2008 10:24:59', '733187.43402540463')
(224, '74.07', '135.52', 'Sun, 25 May 2008 10:25:02', '733187.43406022293')
(225, '74.07', '135.52', 'Sun, 25 May 2008 10:25:05', '733187.43409484392')
(226, '74.07', '135.52', 'Sun, 25 May 2008 10:25:08', '733187.43412966223')
(227, '74.07', '136.20', 'Sun, 25 May 2008 10:25:11', '733187.43416428310')
(228, '74.07', '135.52', 'Sun, 25 May 2008 10:25:14', '733187.43419910152')
(229, '74.07', '136.20', 'Sun, 25 May 2008 10:25:17', '733187.43423372204')
(230, '74.07', '136.20', 'Sun, 25 May 2008 10:25:20', '733187.43426854024')
(231, '74.07', '136.20', 'Sun, 25 May 2008 10:25:23', '733187.43430316122')
(232, '74.07', '136.89', 'Sun, 25 May 2008 10:25:26', '733187.43433797953')
(233, '74.07', '135.52', 'Sun, 25 May 2008 10:25:29', '733187.43437260017')
(234, '74.30', '136.44', 'Sun, 25 May 2008 10:25:32', '733187.43440740625')
(235, '74.30', '136.44', 'Sun, 25 May 2008 10:25:35', '733187.43444203876')
(236, '74.07', '136.20', 'Sun, 25 May 2008 10:25:38', '733187.43447684636')
(237, '74.07', '136.20', 'Sun, 25 May 2008 10:25:41', '733187.43451147818')
(238, '74.30', '136.44', 'Sun, 25 May 2008 10:25:44', '733187.43454628496')
(239, '74.30', '136.44', 'Sun, 25 May 2008 10:25:47', '733187.43458091712')
(240, '74.30', '137.12', 'Sun, 25 May 2008 10:25:50', '733187.43461572391')
(241, '74.30', '136.44', 'Sun, 25 May 2008 10:25:53', '733187.43465035618')
(242, '74.30', '136.44', 'Sun, 25 May 2008 10:25:56', '733187.43468516332')
(243, '74.30', '136.44', 'Sun, 25 May 2008 10:25:59', '733187.43471979548')
(244, '74.30', '136.44', 'Sun, 25 May 2008 10:26:02', '733187.43475460226')
(245, '74.30', '136.44', 'Sun, 25 May 2008 10:26:05', '733187.43478923524')
(246, '74.30', '136.44', 'Sun, 25 May 2008 10:26:08', '733187.43482404144')
(247, '74.30', '135.75', 'Sun, 25 May 2008 10:26:11', '733187.43485885928')
(248, '74.30', '136.44', 'Sun, 25 May 2008 10:26:14', '733187.43489347992')
