Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(111, '85.77', '129.24', 'Wed, 06 Aug 2008 17:30:39', '733260.72962789971')
(112, '85.77', '129.24', 'Wed, 06 Aug 2008 17:30:42', '733260.72966271720')
(113, '85.77', '129.94', 'Wed, 06 Aug 2008 17:30:45', '733260.72969733889')
(114, '85.55', '129.72', 'Wed, 06 Aug 2008 17:30:48', '733260.72973215627')
(115, '85.77', '129.94', 'Wed, 06 Aug 2008 17:30:51', '733260.72976677818')
(116, '85.77', '130.62', 'Wed, 06 Aug 2008 17:30:54', '733260.72980159556')
(117, '85.77', '130.62', 'Wed, 06 Aug 2008 17:30:57', '733260.72983621724')
(118, '85.77', '130.62', 'Wed, 06 Aug 2008 17:31:00', '733260.72987103462')
(119, '85.77', '131.31', 'Wed, 06 Aug 2008 17:31:03', '733260.72990584117')
(120, '85.77', '131.31', 'Wed, 06 Aug 2008 17:31:06', '733260.72994046228')
(121, '85.77', '131.99', 'Wed, 06 Aug 2008 17:31:09', '733260.72997528012')
(122, '85.77', '131.99', 'Wed, 06 Aug 2008 17:31:12', '733260.73000990087')
(123, '85.55', '132.46', 'Wed, 06 Aug 2008 17:31:15', '733260.73004471941')
(124, '85.55', '132.46', 'Wed, 06 Aug 2008 17:31:18', '733260.73007933993')
(125, '85.77', '133.38', 'Wed, 06 Aug 2008 17:31:21', '733260.73011415836')
(126, '85.55', '133.16', 'Wed, 06 Aug 2008 17:31:24', '733260.73014877934')
(127, '85.77', '134.06', 'Wed, 06 Aug 2008 17:31:27', '733260.73018359765')
(128, '85.77', '134.06', 'Wed, 06 Aug 2008 17:31:30', '733260.73021821817')
(129, '85.55', '133.84', 'Wed, 06 Aug 2008 17:31:33', '733260.73025303672')
(130, '85.77', '134.06', 'Wed, 06 Aug 2008 17:31:36', '733260.73028765758')
(131, '85.55', '134.53', 'Wed, 06 Aug 2008 17:31:39', '733260.73032247589')
(132, '85.77', '135.43', 'Wed, 06 Aug 2008 17:31:42', '733260.73035709653')
