Log Date and Time Sun, 30 Oct 2011 21:31:11
Fields:Ambient KilnFront KilnBack Date Date2Num

(109, '56.1', '493.7', '397.3', 'Wed, 26 Oct 2011 23:09:49', '734436.96515528567')
(110, '56.1', '491.6', '395.1', 'Wed, 26 Oct 2011 23:10:19', '734436.96550282033')
(111, '56.1', '490.5', '395.1', 'Wed, 26 Oct 2011 23:10:49', '734436.96585033240')
(112, '56.1', '489.5', '395.1', 'Wed, 26 Oct 2011 23:11:19', '734436.96619784366')
(113, '56.1', '490.9', '395.1', 'Wed, 26 Oct 2011 23:11:49', '734436.96654537867')
(114, '56.1', '492.3', '395.9', 'Wed, 26 Oct 2011 23:12:19', '734436.96689290192')
(115, '56.1', '495.1', '396.6', 'Wed, 26 Oct 2011 23:12:49', '734436.96724021656')
(116, '56.1', '496.4', '398.0', 'Wed, 26 Oct 2011 23:13:19', '734436.96758772852')
(117, '56.1', '498.5', '398.7', 'Wed, 26 Oct 2011 23:13:49', '734436.96793525177')
(118, '56.1', '498.5', '398.7', 'Wed, 26 Oct 2011 23:14:19', '734436.96828283591')
(119, '56.1', '499.9', '399.4', 'Wed, 26 Oct 2011 23:14:49', '734436.96863029839')
(120, '56.1', '501.3', '399.4', 'Wed, 26 Oct 2011 23:15:19', '734436.96897755715')
(121, '56.1', '501.9', '400.1', 'Wed, 26 Oct 2011 23:15:49', '734436.96932508051')
(122, '56.1', '502.2', '400.1', 'Wed, 26 Oct 2011 23:16:19', '734436.96967259387')
(123, '56.1', '500.8', '400.1', 'Wed, 26 Oct 2011 23:16:49', '734436.97002010397')
(124, '56.1', '498.7', '399.4', 'Wed, 26 Oct 2011 23:17:19', '734436.97036763700')
(125, '56.1', '496.0', '398.0', 'Wed, 26 Oct 2011 23:17:49', '734436.97071516060')
(126, '56.1', '493.2', '397.3', 'Wed, 26 Oct 2011 23:18:19', '734436.97106253356')
(127, '56.1', '493.2', '396.6', 'Wed, 26 Oct 2011 23:18:49', '734436.97141003341')
(128, '56.1', '493.2', '397.3', 'Wed, 26 Oct 2011 23:19:19', '734436.97175730171')
(129, '56.1', '493.7', '397.3', 'Wed, 26 Oct 2011 23:19:49', '734436.97210461705')
(130, '55.9', '494.4', '397.0', 'Wed, 26 Oct 2011 23:20:19', '734436.97245215205')
(131, '55.9', '495.8', '397.7', 'Wed, 26 Oct 2011 23:20:49', '734436.97279946634')
(132, '55.9', '496.4', '398.4', 'Wed, 26 Oct 2011 23:21:19', '734436.97314681637')
(133, '55.9', '497.1', '398.4', 'Wed, 26 Oct 2011 23:21:49', '734436.97349431645')
(134, '55.9', '497.1', '398.4', 'Wed, 26 Oct 2011 23:22:19', '734436.97384186252')
