Log Date and Time Thu, 20 Mar 2008 16:41:50
Ambient Kiln Date Date2Num

(190, '71.37', '115.45', 'Thu, 20 Mar 2008 15:58:26', '733121.66732609773')
(191, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:29', '733121.66736090265')
(192, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:32', '733121.66739570023')
(193, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:35', '733121.66743050946')
(194, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:38', '733121.66746530845')
(195, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:41', '733121.66749993118')
(196, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:44', '733121.66753472923')
(197, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:47', '733121.66756953730')
(198, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:50', '733121.66760433617')
(199, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:53', '733121.66763913294')
(200, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:56', '733121.66767394275')
(201, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:59', '733121.66770873964')
(202, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:02', '733121.66774342314')
(203, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:05', '733121.66777816135')
(204, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:08', '733121.66781297210')
(205, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:11', '733121.66784776736')
(206, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:14', '733121.66788257821')
(207, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:17', '733121.66791740421')
(208, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:20', '733121.66795218480')
(209, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:23', '733121.66798680474')
(210, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:26', '733121.66802162630')
(211, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:29', '733121.66805640317')
(212, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:32', '733121.66809120076')
(213, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:35', '733121.66812601022')
(214, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:38', '733121.66816080792')
(215, '71.37', '114.98', 'Thu, 20 Mar 2008 15:59:41', '733121.66819543089')
(216, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:44', '733121.66823022987')
(217, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:47', '733121.66826503864')
