Log Date and Time Fri, 07 Nov 2008 08:26:51
Ambient Kiln Date Date2Num

(95, '64.40', '68.43', 'Thu, 06 Nov 2008 08:26:10', '733352.35151004419')
(96, '64.40', '67.08', 'Thu, 06 Nov 2008 08:26:13', '733352.35154483316')
(97, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:16', '733352.35157944844')
(98, '64.62', '67.96', 'Thu, 06 Nov 2008 08:26:19', '733352.35161423753')
(99, '64.62', '67.96', 'Thu, 06 Nov 2008 08:26:22', '733352.35164903814')
(100, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:25', '733352.35168364190')
(101, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:28', '733352.35171844321')
(102, '64.62', '67.96', 'Thu, 06 Nov 2008 08:26:31', '733352.35175304592')
(103, '64.40', '67.08', 'Thu, 06 Nov 2008 08:26:34', '733352.35178784712')
(104, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:37', '733352.35182263551')
(105, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:40', '733352.35185725125')
(106, '64.40', '67.08', 'Thu, 06 Nov 2008 08:26:43', '733352.35189203976')
(107, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:46', '733352.35192664410')
(108, '64.62', '67.96', 'Thu, 06 Nov 2008 08:26:49', '733352.35196144402')
(109, '64.62', '68.65', 'Thu, 06 Nov 2008 08:26:52', '733352.35199623380')
(110, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:55', '733352.35203084897')
(111, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:58', '733352.35206563771')
(112, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:01', '733352.35210025322')
(113, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:04', '733352.35213504219')
(114, '64.40', '68.43', 'Thu, 06 Nov 2008 08:27:07', '733352.35216984258')
(115, '64.62', '67.96', 'Thu, 06 Nov 2008 08:27:10', '733352.35220444633')
(116, '64.62', '68.65', 'Thu, 06 Nov 2008 08:27:13', '733352.35223924671')
(117, '64.40', '67.08', 'Thu, 06 Nov 2008 08:27:16', '733352.35227403569')
(118, '64.40', '68.43', 'Thu, 06 Nov 2008 08:27:19', '733352.35230865108')
(119, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:22', '733352.35234344087')
(120, '64.62', '67.96', 'Thu, 06 Nov 2008 08:27:25', '733352.35237805545')
(121, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:28', '733352.35241284501')
(122, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:31', '733352.35244764469')
(123, '64.62', '67.96', 'Thu, 06 Nov 2008 08:27:34', '733352.35248224938')
(124, '64.62', '67.96', 'Thu, 06 Nov 2008 08:27:37', '733352.35251704929')
(125, '64.40', '68.43', 'Thu, 06 Nov 2008 08:27:40', '733352.35255165363')
(126, '64.40', '67.75', 'Thu, 06 Nov 2008 08:27:43', '733352.35258644237')
(127, '64.40', '69.12', 'Thu, 06 Nov 2008 08:27:46', '733352.35262124287')
(128, '64.62', '69.33', 'Thu, 06 Nov 2008 08:27:49', '733352.35265584663')
(129, '64.40', '70.48', 'Thu, 06 Nov 2008 08:27:52', '733352.35269064759')
(130, '64.40', '71.17', 'Thu, 06 Nov 2008 08:27:55', '733352.35272525134')
(131, '64.62', '71.38', 'Thu, 06 Nov 2008 08:27:58', '733352.35276005138')
(132, '64.40', '72.54', 'Thu, 06 Nov 2008 08:28:01', '733352.35279484035')
(133, '64.40', '72.54', 'Thu, 06 Nov 2008 08:28:04', '733352.35282945586')
(134, '64.40', '73.90', 'Thu, 06 Nov 2008 08:28:07', '733352.35286424472')
(135, '64.40', '73.90', 'Thu, 06 Nov 2008 08:28:10', '733352.35289904592')
(136, '64.40', '75.27', 'Thu, 06 Nov 2008 08:28:13', '733352.35293364897')
(137, '64.40', '74.59', 'Thu, 06 Nov 2008 08:28:16', '733352.35296845005')
(138, '64.40', '75.96', 'Thu, 06 Nov 2008 08:28:19', '733352.35300305334')
(139, '64.62', '76.84', 'Thu, 06 Nov 2008 08:28:22', '733352.35303785466')
(140, '64.40', '77.32', 'Thu, 06 Nov 2008 08:28:25', '733352.35307264258')
(141, '64.40', '78.01', 'Thu, 06 Nov 2008 08:28:28', '733352.35310725856')
(142, '64.40', '78.69', 'Thu, 06 Nov 2008 08:28:31', '733352.35314204695')
(143, '64.40', '78.69', 'Thu, 06 Nov 2008 08:28:34', '733352.35317666281')
(144, '64.40', '80.06', 'Thu, 06 Nov 2008 08:28:37', '733352.35321145214')
(145, '64.40', '80.06', 'Thu, 06 Nov 2008 08:28:40', '733352.35324625217')
(146, '64.40', '80.73', 'Thu, 06 Nov 2008 08:28:43', '733352.35328085604')
(147, '64.40', '82.09', 'Thu, 06 Nov 2008 08:28:46', '733352.35331565654')
(148, '64.40', '82.09', 'Thu, 06 Nov 2008 08:28:49', '733352.35335026041')
(149, '64.40', '83.46', 'Thu, 06 Nov 2008 08:28:52', '733352.35338505020')
(150, '64.40', '83.46', 'Thu, 06 Nov 2008 08:28:55', '733352.35341984977')
(151, '64.40', '84.15', 'Thu, 06 Nov 2008 08:28:58', '733352.35345445410')
(152, '64.62', '85.73', 'Thu, 06 Nov 2008 08:29:01', '733352.35348925414')
(153, '64.62', '85.73', 'Thu, 06 Nov 2008 08:29:04', '733352.35352385859')
(154, '64.40', '86.88', 'Thu, 06 Nov 2008 08:29:07', '733352.35355865862')
(155, '64.40', '86.88', 'Thu, 06 Nov 2008 08:29:10', '733352.35359344771')
(156, '64.40', '88.25', 'Thu, 06 Nov 2008 08:29:13', '733352.35362806276')
(157, '64.40', '88.93', 'Thu, 06 Nov 2008 08:29:16', '733352.35366285220')
(158, '64.40', '88.93', 'Thu, 06 Nov 2008 08:29:19', '733352.35369765211')
(159, '64.40', '90.30', 'Thu, 06 Nov 2008 08:29:22', '733352.35373225680')
(160, '64.40', '90.30', 'Thu, 06 Nov 2008 08:29:25', '733352.35376705718')
(161, '64.62', '91.89', 'Thu, 06 Nov 2008 08:29:28', '733352.35380166059')
(162, '64.40', '91.69', 'Thu, 06 Nov 2008 08:29:31', '733352.35383646132')
(163, '64.40', '92.35', 'Thu, 06 Nov 2008 08:29:34', '733352.35387125006')
(164, '64.40', '93.04', 'Thu, 06 Nov 2008 08:29:37', '733352.35390586557')
(165, '64.40', '93.74', 'Thu, 06 Nov 2008 08:29:40', '733352.35394065431')
(166, '64.40', '94.42', 'Thu, 06 Nov 2008 08:29:43', '733352.35397544329')
(167, '64.40', '94.42', 'Thu, 06 Nov 2008 08:29:46', '733352.35401005868')
(168, '64.40', '95.79', 'Thu, 06 Nov 2008 08:29:49', '733352.35404484766')
(169, '64.40', '95.79', 'Thu, 06 Nov 2008 08:29:52', '733352.35407946398')
(170, '64.62', '96.69', 'Thu, 06 Nov 2008 08:29:55', '733352.35411425191')
(171, '64.40', '97.16', 'Thu, 06 Nov 2008 08:29:58', '733352.35414905299')
(172, '64.40', '97.84', 'Thu, 06 Nov 2008 08:30:01', '733352.35418365616')
(173, '64.62', '98.74', 'Thu, 06 Nov 2008 08:30:04', '733352.35421845736')
(174, '64.40', '99.90', 'Thu, 06 Nov 2008 08:30:07', '733352.35425324575')
(175, '64.40', '99.90', 'Thu, 06 Nov 2008 08:30:10', '733352.35428786161')
(176, '64.40', '100.58', 'Thu, 06 Nov 2008 08:30:13', '733352.35432264989')
(177, '64.40', '100.58', 'Thu, 06 Nov 2008 08:30:16', '733352.35435726587')
(178, '64.40', '101.95', 'Thu, 06 Nov 2008 08:30:19', '733352.35439205496')
(179, '64.40', '101.26', 'Thu, 06 Nov 2008 08:30:22', '733352.35442685557')
(180, '64.40', '103.32', 'Thu, 06 Nov 2008 08:30:25', '733352.35446145898')
(181, '64.62', '102.85', 'Thu, 06 Nov 2008 08:30:28', '733352.35449625936')
(182, '64.40', '104.00', 'Thu, 06 Nov 2008 08:30:31', '733352.35453086346')
