Log Date and Time Tue, 27 Nov 2012 22:43:26
Fields:Ambient KilnFront KilnBack Date Date2Num

(144, '52.0', '111.2', '114.7', 'Mon, 26 Nov 2012 23:12:32', '734833.96704297012')
(145, '52.0', '111.2', '114.7', 'Mon, 26 Nov 2012 23:13:02', '734833.96739049372')
(146, '52.0', '111.2', '114.7', 'Mon, 26 Nov 2012 23:13:32', '734833.96773800603')
(147, '51.8', '111.2', '114.5', 'Mon, 26 Nov 2012 23:14:02', '734833.96808552847')
(148, '52.0', '111.2', '114.7', 'Mon, 26 Nov 2012 23:14:32', '734833.96843306418')
(149, '51.8', '111.2', '115.2', 'Mon, 26 Nov 2012 23:15:02', '734833.96878057497')
(150, '51.8', '111.2', '114.5', 'Mon, 26 Nov 2012 23:15:32', '734833.96912811021')
(151, '51.8', '111.2', '115.2', 'Mon, 26 Nov 2012 23:16:02', '734833.96947559842')
(152, '51.8', '111.2', '115.2', 'Mon, 26 Nov 2012 23:16:32', '734833.96982313343')
(153, '51.8', '111.8', '115.2', 'Mon, 26 Nov 2012 23:17:02', '734833.97017066099')
(154, '51.8', '111.2', '115.2', 'Mon, 26 Nov 2012 23:17:32', '734833.97051818063')
(155, '51.8', '111.2', '114.5', 'Mon, 26 Nov 2012 23:18:02', '734833.97086570412')
(156, '51.8', '111.8', '114.5', 'Mon, 26 Nov 2012 23:18:32', '734833.97121323866')
(157, '51.8', '111.6', '115.2', 'Mon, 26 Nov 2012 23:19:02', '734833.97156077332')
(158, '51.8', '111.8', '114.5', 'Mon, 26 Nov 2012 23:19:32', '734833.97190830787')
(159, '51.8', '111.6', '115.2', 'Mon, 26 Nov 2012 23:20:02', '734833.97225583112')
(160, '51.8', '111.8', '115.2', 'Mon, 26 Nov 2012 23:20:32', '734833.97260333889')
(161, '51.8', '111.6', '115.2', 'Mon, 26 Nov 2012 23:21:02', '734833.97295086598')
(162, '51.8', '111.8', '115.2', 'Mon, 26 Nov 2012 23:21:32', '734833.97329840087')
(163, '51.8', '111.6', '115.2', 'Mon, 26 Nov 2012 23:22:03', '734833.97364593507')
(164, '51.6', '112.3', '115.0', 'Mon, 26 Nov 2012 23:22:33', '734833.97399344761')
(165, '51.8', '111.6', '115.2', 'Mon, 26 Nov 2012 23:23:03', '734833.97434098250')
(166, '51.6', '112.3', '115.0', 'Mon, 26 Nov 2012 23:23:33', '734833.97468851716')
(167, '51.6', '112.3', '115.0', 'Mon, 26 Nov 2012 23:24:03', '734833.97503607511')
(168, '51.6', '113.0', '115.0', 'Mon, 26 Nov 2012 23:24:33', '734833.97538357531')
(169, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:25:03', '734833.97573109821')
(170, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:25:33', '734833.97607860982')
(171, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:26:03', '734833.97642612155')
(172, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:26:33', '734833.97677366785')
(173, '51.6', '113.0', '115.6', 'Mon, 26 Nov 2012 23:27:03', '734833.97712119122')
(174, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:27:33', '734833.97746873740')
(175, '51.6', '113.0', '115.0', 'Mon, 26 Nov 2012 23:28:03', '734833.97781626065')
(176, '51.4', '113.0', '114.8', 'Mon, 26 Nov 2012 23:28:33', '734833.97816376074')
(177, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:29:03', '734833.97851128387')
(178, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:29:33', '734833.97885884251')
(179, '51.6', '112.3', '115.6', 'Mon, 26 Nov 2012 23:30:03', '734833.97920636542')
(180, '51.6', '113.0', '115.6', 'Mon, 26 Nov 2012 23:30:33', '734833.97955387726')
(181, '51.6', '113.0', '115.6', 'Mon, 26 Nov 2012 23:31:03', '734833.97990140016')
(182, '51.4', '113.0', '116.1', 'Mon, 26 Nov 2012 23:31:33', '734833.98024892376')
(183, '51.6', '113.5', '116.3', 'Mon, 26 Nov 2012 23:32:03', '734833.98059645831')
(184, '51.4', '113.5', '116.1', 'Mon, 26 Nov 2012 23:32:33', '734833.98094398179')
(185, '51.4', '113.5', '115.4', 'Mon, 26 Nov 2012 23:33:03', '734833.98129150493')
(186, '51.4', '112.8', '116.1', 'Mon, 26 Nov 2012 23:33:33', '734833.98163901677')
(187, '51.4', '112.8', '116.1', 'Mon, 26 Nov 2012 23:34:03', '734833.98198655143')
(188, '51.4', '113.5', '115.4', 'Mon, 26 Nov 2012 23:34:33', '734833.98233408609')
