Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(106, '78.57', '216.68', 'Mon, 19 May 2008 08:27:27', '733181.35239762894')
(107, '78.57', '216.68', 'Mon, 19 May 2008 08:27:30', '733181.35243243037')
(108, '78.57', '216.68', 'Mon, 19 May 2008 08:27:33', '733181.35246721818')
(109, '78.57', '217.36', 'Mon, 19 May 2008 08:27:36', '733181.35250183498')
(110, '78.57', '217.36', 'Mon, 19 May 2008 08:27:39', '733181.35253662302')
(111, '78.57', '217.36', 'Mon, 19 May 2008 08:27:42', '733181.35257123888')
(112, '78.57', '216.68', 'Mon, 19 May 2008 08:27:45', '733181.35260602692')
(113, '78.57', '217.36', 'Mon, 19 May 2008 08:27:48', '733181.35264082823')
(114, '78.57', '217.36', 'Mon, 19 May 2008 08:27:51', '733181.35267543164')
(115, '78.57', '217.36', 'Mon, 19 May 2008 08:27:54', '733181.35271023260')
(116, '78.57', '217.36', 'Mon, 19 May 2008 08:27:57', '733181.35274483613')
(117, '78.57', '218.07', 'Mon, 19 May 2008 08:28:00', '733181.35277963721')
(118, '78.57', '218.07', 'Mon, 19 May 2008 08:28:03', '733181.35281442537')
(119, '78.57', '218.07', 'Mon, 19 May 2008 08:28:06', '733181.35284904134')
(120, '78.57', '218.07', 'Mon, 19 May 2008 08:28:09', '733181.35288382997')
(121, '78.57', '218.07', 'Mon, 19 May 2008 08:28:12', '733181.35291861952')
(122, '78.57', '218.07', 'Mon, 19 May 2008 08:28:15', '733181.35295323399')
(123, '78.57', '218.77', 'Mon, 19 May 2008 08:28:18', '733181.35298802378')
(124, '78.57', '218.77', 'Mon, 19 May 2008 08:28:21', '733181.35302263871')
(125, '78.80', '219.00', 'Mon, 19 May 2008 08:28:24', '733181.35305742838')
(126, '78.57', '218.07', 'Mon, 19 May 2008 08:28:27', '733181.35309222783')
(127, '78.57', '218.77', 'Mon, 19 May 2008 08:28:30', '733181.35312683240')
(128, '78.80', '219.00', 'Mon, 19 May 2008 08:28:33', '733181.35316163197')
(129, '78.57', '218.07', 'Mon, 19 May 2008 08:28:36', '733181.35319623700')
(130, '78.57', '219.45', 'Mon, 19 May 2008 08:28:39', '733181.35323103704')
(131, '78.57', '218.77', 'Mon, 19 May 2008 08:28:42', '733181.35326582601')
(132, '78.57', '218.77', 'Mon, 19 May 2008 08:28:45', '733181.35330044117')
(133, '78.57', '218.77', 'Mon, 19 May 2008 08:28:48', '733181.35333523038')
(134, '78.57', '219.45', 'Mon, 19 May 2008 08:28:51', '733181.35336984578')
(135, '78.57', '219.45', 'Mon, 19 May 2008 08:28:54', '733181.35340463475')
(136, '78.57', '219.45', 'Mon, 19 May 2008 08:28:57', '733181.35343943478')
(137, '78.57', '220.14', 'Mon, 19 May 2008 08:29:00', '733181.35347403924')
(138, '78.57', '220.14', 'Mon, 19 May 2008 08:29:03', '733181.35350883915')
(139, '78.57', '220.14', 'Mon, 19 May 2008 08:29:06', '733181.35354362859')
(140, '78.57', '219.45', 'Mon, 19 May 2008 08:29:09', '733181.35357824364')
(141, '78.57', '219.45', 'Mon, 19 May 2008 08:29:12', '733181.35361303331')
(142, '78.57', '220.14', 'Mon, 19 May 2008 08:29:15', '733181.35364763625')
(143, '78.57', '220.14', 'Mon, 19 May 2008 08:29:18', '733181.35368243733')
(144, '78.57', '220.14', 'Mon, 19 May 2008 08:29:21', '733181.35371722572')
(145, '78.57', '220.14', 'Mon, 19 May 2008 08:29:24', '733181.35375184193')
